"","Num_episode","Title","Type","Year_launch","Rate","Votes","Saga","Airdate"
"248",248,"The Fourth Hokage's Death Match","Manga Canon","2012",9.2,1134,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-02-09"
"249",249,"Thank You","Manga Canon","2012",9.3,1356,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-02-09"
"250",250,"Battle in Paradise! the Odd Beast vs. the Monster!","Manga Canon","2012",8,327,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-02-16"
"251",251,"The Man Named Kisame","Manga Canon","2012",8.4,347,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-02-23"
"252",252,"The Angelic Herald of Death","Manga Canon","2012",8.1,340,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-03-01"
"253",253,"The Bridge to Peace","Manga Canon","2012",8.5,459,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-03-08"
"254",254,"The Super Secret S-Rank Mission","Mixed Canon/Filler","2012",6.8,268,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-03-15"
"255",255,"The Artist Returns","Manga Canon","2012",7.5,281,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-03-22"
"256",256,"Assemble! Allied Shinobi Forces!","Manga Canon","2012",8.4,384,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-03-29"
"257",257,"Meeting","Filler","2012",6.1,206,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-04-05"
"258",258,"Rivals","Filler","2012",5.7,197,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-04-12"
"259",259,"Rift","Filler","2012",5.6,201,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-04-19"
"260",260,"Parting","Filler","2012",6,197,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-04-26"
"261",261,"For My Friend","Manga Canon","2012",7.7,312,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-05-03"
"262",262,"War Begins!","Manga Canon","2012",8.2,303,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-05-10"
"263",263,"Sai and Shin","Manga Canon","2012",7.9,291,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-05-17"
"264",264,"Secrets of the Reanimation Jutsu","Manga Canon","2012",7.8,283,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-05-24"
"265",265,"An Old Nemesis Returns","Manga Canon","2012",7.9,294,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-05-31"
"266",266,"The First and Last Opponent","Manga Canon","2012",8.1,299,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-06-07"
"267",267,"The Brilliant Military Advisor of the Hidden Leaf","Manga Canon","2012",7.5,268,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-06-21"
"268",268,"Battleground!","Manga Canon","2012",7.6,271,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-06-28"
"269",269,"Forbidden Words","Manga Canon","2012",7.8,272,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-07-05"
"270",270,"Golden Bonds","Manga Canon","2012",7.9,276,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-07-19"
"271",271,"Road to Sakura","Filler","2012",5.7,218,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-07-26"
"272",272,"Mifune vs. Hanzo","Manga Canon","2012",7.8,295,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-08-02"
"273",273,"True Kindness","Manga Canon","2012",7.3,268,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-08-09"
"274",274,"The Complete Ino-Shika-Cho Formation!","Manga Canon","2012",7.5,277,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-08-09"
"275",275,"A Message from the Heart","Manga Canon","2012",8,294,"s12 Nine-Tailed Fox Taming And Karmic Encounters","2012-08-16"
"276",276,"Attack of the Gedo Statue","Manga Canon","2012",7.8,270,"s13 The Seven Shinobi Swordsmen","2012-08-23"
"277",277,"Unison Sign","Manga Canon","2012",7.4,266,"s13 The Seven Shinobi Swordsmen","2012-08-30"
"278",278,"Medic Ninja in Danger","Manga Canon","2012",7.4,262,"s13 The Seven Shinobi Swordsmen","2012-09-06"
"279",279,"White Zetsu's Trap","Filler","2012",7,206,"s13 The Seven Shinobi Swordsmen","2012-09-13"
"280",280,"Aesthetics of an Artist","Filler","2012",6.7,201,"s13 The Seven Shinobi Swordsmen","2012-09-20"
"281",281,"The Allied Mom Force!","Filler","2012",5.3,195,"s13 The Seven Shinobi Swordsmen","2012-09-27"
"282",282,"The Secret Origin of the Ultimate Tag Team!","Manga Canon","2012",7.7,265,"s13 The Seven Shinobi Swordsmen","2012-10-04"
"283",283,"Two Suns","Manga Canon","2012",8.1,292,"s13 The Seven Shinobi Swordsmen","2012-10-11"
"284",284,"Helmet Splitter: Jinin Akebino!","Filler","2012",7.2,202,"s13 The Seven Shinobi Swordsmen","2012-10-18"
"285",285,"User of the Scorch Style: Pakura of the Sand!","Filler","2012",6.6,193,"s13 The Seven Shinobi Swordsmen","2012-10-25"
"286",286,"Things You Can't Get Back","Filler","2012",6.4,185,"s13 The Seven Shinobi Swordsmen","2012-11-01"
"287",287,"One Worth Betting On","Filler","2012",6.2,187,"s13 The Seven Shinobi Swordsmen","2012-11-01"
"288",288,"Danger: Jinpachi and Kushimaru!","Filler","2012",6.6,199,"s13 The Seven Shinobi Swordsmen","2012-11-08"
"289",289,"The Lightning Blade: Ameyuri Ringo!","Filler","2012",6.7,199,"s13 The Seven Shinobi Swordsmen","2012-11-15"
"290",290,"Power: Episode 1","Filler","2012",6.6,211,"s13 The Seven Shinobi Swordsmen","2012-11-22"
"291",291,"Power: Episode 2","Filler","2012",6.4,201,"s13 The Seven Shinobi Swordsmen","2012-11-29"
"292",292,"Power: Episode 3","Filler","2012",6.8,208,"s13 The Seven Shinobi Swordsmen","2012-12-06"
"293",293,"Power: Episode 4","Filler","2012",6.4,202,"s13 The Seven Shinobi Swordsmen","2012-12-13"
"294",294,"Power: Episode 5","Filler","2012",6.7,204,"s13 The Seven Shinobi Swordsmen","2012-12-20"
"295",295,"Power: Episode Final","Filler","2013",7.1,224,"s13 The Seven Shinobi Swordsmen","2013-01-10"
"296",296,"Naruto Enters the Battle","Manga Canon","2013",7.7,311,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-01-17"
"297",297,"A Father's Hope, a Mother's Love","Manga Canon","2013",8.3,350,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-01-24"
"298",298,"Contact! Naruto vs. Itachi","Manga Canon","2013",8.3,603,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-01-31"
"299",299,"The Acknowledged One","Manga Canon","2013",8.5,384,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-02-07"
"300",300,"The Mizukage, the Giant Clam, and the Mirage","Manga Canon","2013",8,295,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-02-14"
"301",301,"Paradox","Manga Canon","2013",8.2,308,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-02-21"
"302",302,"Terror! the Steam Imp","Manga Canon","2013",7.7,267,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-02-28"
"303",303,"Ghosts from the Past","Filler","2013",6.7,202,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-03-07"
"304",304,"The Underworld Transfer Jutsu","Filler","2013",6.3,199,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-03-14"
"305",305,"The Vengeful","Filler","2013",6.5,194,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-03-21"
"306",306,"The Heart's Eye","Filler","2013",6.2,195,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-03-28"
"307",307,"Fade Into the Moonlight","Filler","2013",6.4,205,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-04-04"
"308",308,"Crescent Moon Night","Filler","2013",6.3,194,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-04-11"
"309",309,"The A-Rank Mission: Food Fight!","Filler","2013",5.5,186,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-04-18"
"310",310,"The Fallen Castle","Filler","2013",5.7,181,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-04-25"
"311",311,"Prologue of Road to Ninja","Filler","2013",7.5,244,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-05-02"
"312",312,"The Old Master and the Dragon's Eye","Filler","2013",5.5,188,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-05-09"
"313",313,"Rain Followed by Snow, with Some Lightning","Filler","2013",5.1,206,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-05-16"
"314",314,"The Sad Sun Shower","Filler","2013",5.2,188,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-05-23"
"315",315,"Lingering Snow","Filler","2013",5.8,185,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-05-30"
"316",316,"The Reanimated Allied Forces","Filler","2013",6.2,192,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-06-06"
"317",317,"Shino vs. Torune","Filler","2013",6.6,193,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-06-13"
"318",318,"A Hole in the Heart: the Other Jinchuriki","Filler","2013",6.2,187,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-06-20"
"319",319,"The Soul Living Inside the Puppet","Filler","2013",6.7,196,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-06-27"
"320",320,"Run, Omoi!","Filler","2013",6.4,202,"s14 The Fourth Great Ninja War - Assailants From Afar","2013-07-04"
"321",321,"Reinforcements Arrive","Manga Canon","2013",8.1,309,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-07-18"
"322",322,"Madara Uchiha","Manga Canon","2013",9.3,1600,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-07-25"
"323",323,"The Five Kage Assemble","Manga Canon","2013",8.3,548,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-01"
"324",324,"The Unbreakable Mask and the Shattered Bubble","Mixed Canon/Filler","2013",7.8,290,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-08"
"325",325,"Jinchuriki vs. Jinchuriki!","Manga Canon","2013",8.1,296,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-15"
"326",326,"Four Tails, the King of Sage Monkeys","Manga Canon","2013",8.3,299,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-22"
"327",327,"Nine Tails","Mixed Canon/Filler","2013",7.2,292,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-29"
"328",328,"Kurama","Mixed Canon/Filler","2013",7.9,327,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-08-29"
"329",329,"Two-Man Team","Manga Canon","2013",8.5,736,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-09-05"
"330",330,"Promise of Victory","Mixed Canon/Filler","2013",7.7,277,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-09-12"
"331",331,"Eyes That See in the Dark","Mixed Canon/Filler","2013",7,265,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-09-19"
"332",332,"The Will of Stone","Manga Canon","2013",8.2,295,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-09-26"
"333",333,"The Risks of the Reanimation Jutsu","Manga Canon","2013",8.4,309,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-10-03"
"334",334,"Sibling Tag Team","Manga Canon","2013",8.3,307,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-10-10"
"335",335,"To Each Their Own Leaf","Manga Canon","2013",7.7,280,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-10-24"
"336",336,"Kabuto Yakushi","Manga Canon","2013",7.7,282,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-10-31"
"337",337,"The Izanami Activated","Manga Canon","2013",8.2,314,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-11-07"
"338",338,"Izanagi and Izanami","Mixed Canon/Filler","2013",8.2,318,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-11-14"
"339",339,"I Will Love You Always","Manga Canon","2013",9.1,1188,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-11-21"
"340",340,"Reanimation Jutsu, Release!","Manga Canon","2013",8.3,317,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-11-28"
"341",341,"Orochimaru's Return","Manga Canon","2013",8,293,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-12-05"
"342",342,"Secret of the Transportation Technique","Manga Canon","2013",8.5,358,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-12-12"
"343",343,"Who Are You?","Manga Canon","2013",8.5,660,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2013-12-19"
"344",344,"Obito and Madara","Manga Canon","2014",8.3,583,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2014-01-09"
"345",345,"I'm in Hell","Manga Canon","2014",9.2,1227,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2014-01-16"
"346",346,"World of Dreams","Mixed Canon/Filler","2014",8.3,309,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2014-01-23"
"347",347,"Creeping Shadow","Filler","2014",7.7,255,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2014-01-23"
"348",348,"The New Akatsuki","Filler","2014",8.2,270,"s15 The Fourth Great Ninja War - Sasuke And Itachi","2014-01-30"
"349",349,"Kakashi: Shadow of the ANBU Black Ops – A Mask That Hides the Heart","Filler","2014",7.8,239,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-02-06"
"350",350,"Kakashi: Shadow of the ANBU Black Ops – Minato's Death","Filler","2014",8,261,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-02-13"
"351",351,"Kakashi: Shadow of the ANBU Black Ops: Hashirama's Cells","Filler","2014",7.3,210,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-02-20"
"352",352,"Kakashi: Shadow of the ANBU Black Ops: The Rogue Ninja Orochimaru","Filler","2014",7,210,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-02-27"
"353",353,"Kakashi: Shadow of the ANBU Black Ops – Orochimaru's Test Subjects","Filler","2014",6.9,200,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-03-06"
"354",354,"Kakashi: Shadow of the ANBU Black Ops – Their Own Paths","Filler","2014",7,200,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-03-06"
"355",355,"Kakashi: Shadow of the ANBU Black Ops – the Targeted Sharingan","Filler","2014",7.2,210,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-03-13"
"356",356,"Kakashi: Shadow of the ANBU Black Ops – a Shinobi of the Leaf","Filler","2014",7.3,212,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-03-20"
"357",357,"Kakashi: Shadow of the ANBU Black Ops – an Uchiha ANBU","Filler","2014",7.7,232,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-04-03"
"358",358,"Kakashi: Shadow of the ANBU Black Ops – Coup D'État","Filler","2014",8.3,297,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-04-10"
"359",359,"Kakashi: Shadow of the ANBU Black Ops – the Night of the Tragedy","Filler","2014",8.1,252,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-04-17"
"360",360,"Kakashi: Shadow of the ANBU Black Ops – Jonin Leader","Filler","2014",7.6,222,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-04-24"
"361",361,"Kakashi: Shadow of the ANBU Black Ops – Squad Seven","Filler","2014",8,258,"s16 Kakashi: Shadow Of The Anbu Black Ops","2014-05-08"
"362",362,"Kakashi's Resolve","Mixed Canon/Filler","2014",8.2,497,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-05-15"
"363",363,"The Allied Shinobi Forces Jutsu","Manga Canon","2014",8.5,628,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-05-22"
"364",364,"The Ties That Bind","Manga Canon","2014",9,1048,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-06-05"
"365",365,"Those Who Dance in the Shadows","Manga Canon","2014",8.6,676,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-06-12"
"366",366,"The All-Knowing","Manga Canon","2014",8.8,833,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-06-19"
"367",367,"Hashirama and Madara","Manga Canon","2014",8.2,491,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-07-03"
"368",368,"Era of Warring States","Manga Canon","2014",8.4,572,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-07-10"
"369",369,"My True Dream","Manga Canon","2014",8.3,524,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-07-24"
"370",370,"Sasuke's Answer","Manga Canon","2014",8.4,567,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-07-31"
"371",371,"Hole","Manga Canon","2014",8.5,361,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-08-07"
"372",372,"Something to Fill the Hole","Manga Canon","2014",8.8,899,"s17 The Fourth Great Ninja War - The Return Of Squad Seven","2014-08-14"
"373",373,"Team 7, Assemble!","Manga Canon","2014",8.2,499,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-08-21"
"374",374,"The New Three-Way Deadlock","Manga Canon","2014",8.3,439,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-08-28"
"375",375,"Kakashi vs. Obito","Manga Canon","2014",9.3,1732,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-09-04"
"376",376,"The Directive to Take the Nine Tails","Filler","2014",4.6,260,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-09-11"
"377",377,"Naruto vs. Mecha Naruto","Filler","2014",4.2,348,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-09-11"
"378",378,"The Ten Tails' Jinchuriki","Manga Canon","2014",8.2,446,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-09-18"
"379",379,"An Opening","Manga Canon","2014",8.4,548,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-09-25"
"380",380,"The Day Naruto Was Born","Manga Canon","2014",8.2,496,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-10-02"
"381",381,"The Divine Tree","Manga Canon","2014",8.2,535,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-10-09"
"382",382,"A Shinobi's Dream","Manga Canon","2014",8.2,436,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-10-16"
"383",383,"Pursuing Hope","Manga Canon","2014",8.5,348,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-10-23"
"384",384,"A Heart Filled With Comrades","Manga Canon","2014",8.2,506,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-10-30"
"385",385,"Obito Uchiha","Mixed Canon/Filler","2014",8.1,308,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-11-06"
"386",386,"I'm Always Watching","Mixed Canon/Filler","2014",7.9,266,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-11-13"
"387",387,"The Promise That Was Kept","Manga Canon","2014",8.4,300,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-11-20"
"388",388,"My First Friend","Filler","2014",6.4,201,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-11-27"
"389",389,"The Adored Elder Sister","Filler","2014",6.3,174,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-12-04"
"390",390,"Hanabi's Decision","Filler","2014",6.7,173,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-12-04"
"391",391,"Madara Uchiha Arises","Manga Canon","2014",8.4,610,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-12-11"
"392",392,"The Hidden Heart","Manga Canon","2014",8.3,581,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-12-18"
"393",393,"A True Ending","Manga Canon","2014",8.6,766,"s18 The Fourth Great Ninja War - Obito Uchiha Against The Shinobi Forces","2014-12-25"
"394",394,"The New Chunin Exams","Filler","2015",6.4,178,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-01-08"
"395",395,"The Chunin Exams Begin!","Filler","2015",6,170,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-01-15"
"396",396,"The Three Questions","Filler","2015",6.6,172,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-01-22"
"397",397,"One Worthy As A Leader","Filler","2015",6.7,167,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-01-29"
"398",398,"The Night Before the Second Exam","Filler","2015",6.4,166,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-02-05"
"399",399,"Demon Desert Survival","Filler","2015",6.2,165,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-02-12"
"400",400,"As a Taijutsu User","Filler","2015",6.1,169,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-02-19"
"401",401,"The Ultimate","Filler","2015",7.1,179,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-02-26"
"402",402,"Escape vs. Pursuit","Filler","2015",5.8,169,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-03-05"
"403",403,"Unwavering Gutsiness","Filler","2015",5.8,166,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-03-12"
"404",404,"Tenten's Troubles","Filler","2015",5.7,165,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-03-19"
"405",405,"The Imprisoned Pair","Filler","2015",5.9,163,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-03-26"
"406",406,"The Place Where I Belong","Filler","2015",5.7,164,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-04-02"
"407",407,"The Yamanaka Clan: Secret Ninjutsu","Filler","2015",5.8,164,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-04-09"
"408",408,"The Cursed Puppet","Filler","2015",6.1,164,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-04-16"
"409",409,"Their Backs","Filler","2015",6.2,163,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-04-23"
"410",410,"The Hidden Plot Set Into Motion","Filler","2015",6.3,164,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-04-30"
"411",411,"The Targeted Tailed Beast","Filler","2015",6.1,164,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-05-07"
"412",412,"Neji’s Judgement","Filler","2015",6.2,165,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-05-14"
"413",413,"Hopes Entrusted to the Future","Filler","2015",6.5,166,"s19 Naruto'S Back ~The Tracks Of His Friends","2015-05-21"
"414",414,"On the Brink of Death","Manga Canon","2015",8.4,404,"s20 Infinite Tsukuyomi: The Invocation","2015-05-28"
"415",415,"The Two Mangekyo","Mixed Canon/Filler","2015",8.2,298,"s20 Infinite Tsukuyomi: The Invocation","2015-06-04"
"416",416,"The Formation of Team Minato","Filler","2015",7,200,"s20 Infinite Tsukuyomi: The Invocation","2015-06-11"
"417",417,"You’ll Be My Backup","Filler","2015",8.1,263,"s20 Infinite Tsukuyomi: The Invocation","2015-06-25"
"418",418,"The Blue Beast vs Six Paths Madara","Manga Canon","2015",8.4,341,"s20 Infinite Tsukuyomi: The Invocation","2015-07-02"
"419",419,"Papa's Youth","Mixed Canon/Filler","2015",8.2,453,"s20 Infinite Tsukuyomi: The Invocation","2015-07-09"
"420",420,"The Eight Inner Gates Formation","Manga Canon","2015",8.6,733,"s20 Infinite Tsukuyomi: The Invocation","2015-07-23"
"421",421,"The Sage of the Six Paths","Manga Canon","2015",9.1,1205,"s20 Infinite Tsukuyomi: The Invocation","2015-07-30"
"422",422,"The One Who Will Inherit","Filler","2015",6.6,174,"s20 Infinite Tsukuyomi: The Invocation","2015-08-06"
"423",423,"Naruto's Rival","Filler","2015",6.9,180,"s20 Infinite Tsukuyomi: The Invocation","2015-08-06"
"424",424,"To Rise Up","Manga Canon","2015",8.8,881,"s20 Infinite Tsukuyomi: The Invocation","2015-08-13"
"425",425,"The Infinite Dream","Manga Canon","2015",8.4,631,"s20 Infinite Tsukuyomi: The Invocation","2015-08-20"
"426",426,"The Infinite Tsukuyomi","Mixed Canon/Filler","2015",8.4,302,"s20 Infinite Tsukuyomi: The Invocation","2015-08-27"
"427",427,"To the Dream World","Filler","2015",5.8,186,"s20 Infinite Tsukuyomi: The Invocation","2015-09-03"
"428",428,"Where Tenten Belongs","Filler","2015",5.8,176,"s20 Infinite Tsukuyomi: The Invocation","2015-09-03"
"429",429,"Killer Bee Rappuden, Part 1","Filler","2015",5.2,176,"s20 Infinite Tsukuyomi: The Invocation","2015-09-10"
"430",430,"Killer Bee Rappuden, Part 2","Filler","2015",5.2,172,"s20 Infinite Tsukuyomi: The Invocation","2015-09-17"
"431",431,"To See That Smile, Just One More Time","Filler","2015",6.1,172,"s20 Infinite Tsukuyomi: The Invocation","2015-09-24"
"432",432,"The Loser Ninja","Filler","2015",5.6,166,"s20 Infinite Tsukuyomi: The Invocation","2015-10-01"
"433",433,"The Search Mission","Filler","2015",5.6,166,"s20 Infinite Tsukuyomi: The Invocation","2015-10-08"
"434",434,"Team Jiraiya","Filler","2015",5.1,198,"s20 Infinite Tsukuyomi: The Invocation","2015-10-15"
"435",435,"Order of Priority","Filler","2015",5.2,164,"s20 Infinite Tsukuyomi: The Invocation","2015-10-22"
"436",436,"The Masked Man","Filler","2015",5.3,165,"s20 Infinite Tsukuyomi: The Invocation","2015-11-05"
"437",437,"The Sealed Power","Filler","2015",5.3,166,"s20 Infinite Tsukuyomi: The Invocation","2015-11-12"
"438",438,"The Rules or a Comrade","Filler","2015",5.6,165,"s20 Infinite Tsukuyomi: The Invocation","2015-11-19"
"439",439,"The Child of Prophecy","Filler","2015",5.7,164,"s20 Infinite Tsukuyomi: The Invocation","2015-11-26"
"440",440,"The Caged Bird","Filler","2015",5.8,166,"s20 Infinite Tsukuyomi: The Invocation","2015-12-03"
"441",441,"Returning Home","Filler","2015",5.3,165,"s20 Infinite Tsukuyomi: The Invocation","2015-12-10"
"442",442,"The Mutual Path","Filler","2015",6,165,"s20 Infinite Tsukuyomi: The Invocation","2015-12-17"
"443",443,"The Difference in Power","Filler","2015",5.7,167,"s20 Infinite Tsukuyomi: The Invocation","2015-12-24"
"444",444,"Leaving the Village","Filler","2016",5.9,166,"s20 Infinite Tsukuyomi: The Invocation","2016-01-14"
"445",445,"Pursuers","Filler","2016",5.5,168,"s20 Infinite Tsukuyomi: The Invocation","2016-01-21"
"446",446,"Collision","Filler","2016",5.6,167,"s20 Infinite Tsukuyomi: The Invocation","2016-01-28"
"447",447,"Another Moon","Filler","2016",5.6,168,"s20 Infinite Tsukuyomi: The Invocation","2016-02-04"
"448",448,"Comrade","Filler","2016",5.3,167,"s20 Infinite Tsukuyomi: The Invocation","2016-02-11"
"449",449,"The Shinobi Unite","Filler","2016",5.1,203,"s20 Infinite Tsukuyomi: The Invocation","2016-02-18"
"450",450,"Rival","Filler","2016",6.1,169,"s20 Infinite Tsukuyomi: The Invocation","2016-02-25"
"451",451,"Itachi's Story - Light and Darkness: Birth and Death","Mixed Canon/Filler","2016",7.8,268,"s20 Infinite Tsukuyomi: The Invocation","2016-03-03"
"452",452,"Itachi's Story - Light and Darkness: the Genius","Mixed Canon/Filler","2016",8,254,"s20 Infinite Tsukuyomi: The Invocation","2016-03-10"
