ID,City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,SuperOver,WinningTeam,WonBy,Margin,method,Player_of_Match,Team1Players,Team2Players,Umpire1,Umpire2
1304079,Navi Mumbai,2022-04-21,2022,33,Mumbai Indians,Chennai Super Kings,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings,field,N,Chennai Super Kings,Wickets,3,NA,Mukesh Choudhary,"['RG Sharma', 'Ishan Kishan', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'HR Shokeen', 'KA Pollard', 'DR Sams', 'JD Unadkat', 'RP Meredith', 'JJ Bumrah']","['RD Gaikwad', 'RV Uthappa', 'MJ Santner', 'AT Rayudu', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'DJ Bravo', 'Mukesh Choudhary', 'M Theekshana']",BNJ Oxenford,UV Gandhe
1304078,Mumbai,2022-04-20,2022,32,Punjab Kings,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,9,NA,Kuldeep Yadav,"['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'LS Livingstone', 'JM Sharma', 'M Shahrukh Khan', 'K Rabada', 'NT Ellis', 'RD Chahar', 'Arshdeep Singh', 'VG Arora']","['PP Shaw', 'DA Warner', 'SN Khan', 'RR Pant', 'R Powell', 'Lalit Yadav', 'SN Thakur', 'AR Patel', 'Kuldeep Yadav', 'Mustafizur Rahman', 'KK Ahmed']",RJ Tucker,Tapan Sharma
1304077,Mumbai,2022-04-19,2022,31,Royal Challengers Bangalore,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,field,N,Royal Challengers Bangalore,Runs,18,NA,F du Plessis,"['Anuj Rawat', 'F du Plessis', 'V Kohli', 'GJ Maxwell', 'SS Prabhudessai', 'Shahbaz Ahmed', 'KD Karthik', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'Mohammed Siraj']","['Q de Kock', 'KL Rahul', 'MK Pandey', 'KH Pandya', 'DJ Hooda', 'A Badoni', 'MP Stoinis', 'JO Holder', 'PVD Chameera', 'Ravi Bishnoi', 'Avesh Khan']",CB Gaffaney,N Pandit
1304076,Mumbai,2022-04-18,2022,30,Rajasthan Royals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,field,N,Rajasthan Royals,Runs,7,NA,YS Chahal,"['JC Buttler', 'D Padikkal', 'SV Samson', 'SO Hetmyer', 'R Parag', 'KK Nair', 'R Ashwin', 'TA Boult', 'OC McCoy', 'M Prasidh Krishna', 'YS Chahal']","['AJ Finch', 'SP Narine', 'SS Iyer', 'N Rana', 'AD Russell', 'VR Iyer', 'SP Jackson', 'Shivam Mavi', 'PJ Cummins', 'UT Yadav', 'CV Varun']",GR Sadashiv Iyer,VK Sharma
1304075,Pune,2022-04-17,2022,29,Chennai Super Kings,Gujarat Titans,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,field,N,Gujarat Titans,Wickets,3,NA,DA Miller,"['RD Gaikwad', 'RV Uthappa', 'MM Ali', 'AT Rayudu', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'DJ Bravo', 'CJ Jordan', 'M Theekshana', 'Mukesh Choudhary']","['WP Saha', 'Shubman Gill', 'V Shankar', 'A Manohar', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'AS Joseph', 'LH Ferguson', 'Mohammed Shami', 'Yash Dayal']",KN Ananthapadmanabhan,UV Gandhe
1304074,Mumbai,2022-04-17,2022,28,Punjab Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,7,NA,Umran Malik,"['S Dhawan', 'P Simran Singh', 'JM Bairstow', 'LS Livingstone', 'JM Sharma', 'M Shahrukh Khan', 'OF Smith', 'K Rabada', 'RD Chahar', 'VG Arora', 'Arshdeep Singh']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'J Suchith', 'B Kumar', 'M Jansen', 'T Natarajan', 'Umran Malik']",PG Pathak,R Pandit
1304073,Mumbai,2022-04-16,2022,27,Royal Challengers Bangalore,Delhi Capitals,"Wankhede Stadium, Mumbai",Delhi Capitals,field,N,Royal Challengers Bangalore,Runs,16,NA,KD Karthik,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'GJ Maxwell', 'SS Prabhudessai', 'Shahbaz Ahmed', 'KD Karthik', 'PWH de Silva', 'Mohammed Siraj', 'HV Patel', 'JR Hazlewood']","['PP Shaw', 'DA Warner', 'MR Marsh', 'RR Pant', 'R Powell', 'Lalit Yadav', 'SN Thakur', 'AR Patel', 'Kuldeep Yadav', 'Mustafizur Rahman', 'KK Ahmed']",Chirra Ravikanthreddy,J Madanagopal
1304072,Mumbai,2022-04-16,2022,26,Lucknow Super Giants,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,field,N,Lucknow Super Giants,Runs,18,NA,KL Rahul,"['KL Rahul', 'Q de Kock', 'MK Pandey', 'MP Stoinis', 'DJ Hooda', 'KH Pandya', 'A Badoni', 'JO Holder', 'PVD Chameera', 'Avesh Khan', 'Ravi Bishnoi']","['Ishan Kishan', 'RG Sharma', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'FA Allen', 'JD Unadkat', 'M Ashwin', 'JJ Bumrah', 'TS Mills']",AK Chaudhary,NA Patwardhan
1304071,Mumbai,2022-04-15,2022,25,Kolkata Knight Riders,Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,7,NA,RA Tripathi,"['VR Iyer', 'AJ Finch', 'SS Iyer', 'SP Narine', 'N Rana', 'SP Jackson', 'AD Russell', 'PJ Cummins', 'Aman Hakim Khan', 'UT Yadav', 'CV Varun']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Shashank Singh', 'J Suchith', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']",GR Sadashiv Iyer,VK Sharma
1304070,Mumbai,2022-04-14,2022,24,Gujarat Titans,Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,field,N,Gujarat Titans,Runs,37,NA,HH Pandya,"['MS Wade', 'Shubman Gill', 'V Shankar', 'HH Pandya', 'A Manohar', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'Mohammed Shami', 'LH Ferguson', 'Yash Dayal']","['JC Buttler', 'D Padikkal', 'R Ashwin', 'SV Samson', 'HE van der Dussen', 'SO Hetmyer', 'R Parag', 'JDS Neesham', 'M Prasidh Krishna', 'YS Chahal', 'KR Sen']",CB Gaffaney,R Pandit
1304069,Pune,2022-04-13,2022,23,Punjab Kings,Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians,field,N,Punjab Kings,Runs,12,NA,MA Agarwal,"['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'LS Livingstone', 'JM Sharma', 'M Shahrukh Khan', 'OF Smith', 'K Rabada', 'RD Chahar', 'VG Arora', 'Arshdeep Singh']","['RG Sharma', 'Ishan Kishan', 'D Brevis', 'Tilak Varma', 'SA Yadav', 'KA Pollard', 'JD Unadkat', 'M Ashwin', 'JJ Bumrah', 'TS Mills', 'Basil Thampi']",BNJ Oxenford,UV Gandhe
1304068,Mumbai,2022-04-12,2022,22,Chennai Super Kings,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,N,Chennai Super Kings,Runs,23,NA,S Dube,"['RD Gaikwad', 'RV Uthappa', 'MM Ali', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'AT Rayudu', 'DJ Bravo', 'CJ Jordan', 'M Theekshana', 'Mukesh Choudhary']","['F du Plessis', 'Anuj Rawat', 'V Kohli', 'GJ Maxwell', 'Shahbaz Ahmed', 'SS Prabhudessai', 'KD Karthik', 'PWH de Silva', 'Akash Deep', 'Mohammed Siraj', 'JR Hazlewood']",Nitin Menon,N Pandit
1304067,Mumbai,2022-04-11,2022,21,Gujarat Titans,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,8,NA,KS Williamson,"['MS Wade', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'A Manohar', 'R Tewatia', 'Rashid Khan', 'DG Nalkande', 'Mohammed Shami', 'LH Ferguson']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'N Pooran', 'AK Markram', 'Shashank Singh', 'Washington Sundar', 'M Jansen', 'B Kumar', 'T Natarajan', 'Umran Malik']",Chirra Ravikanthreddy,RJ Tucker
1304065,Mumbai,2022-04-10,2022,19,Delhi Capitals,Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Kolkata Knight Riders,field,N,Delhi Capitals,Runs,44,NA,Kuldeep Yadav,"['PP Shaw', 'DA Warner', 'RR Pant', 'Lalit Yadav', 'R Powell', 'AR Patel', 'SN Thakur', 'SN Khan', 'Kuldeep Yadav', 'Mustafizur Rahman', 'KK Ahmed']","['AM Rahane', 'VR Iyer', 'SS Iyer', 'N Rana', 'AD Russell', 'SW Billings', 'PJ Cummins', 'SP Narine', 'UT Yadav', 'Rasikh Salam', 'CV Varun']",CB Gaffaney,J Madanagopal
1304066,Mumbai,2022-04-10,2022,20,Rajasthan Royals,Lucknow Super Giants,"Wankhede Stadium, Mumbai",Lucknow Super Giants,field,N,Rajasthan Royals,Runs,3,NA,YS Chahal,"['JC Buttler', 'D Padikkal', 'SV Samson', 'HE van der Dussen', 'SO Hetmyer', 'R Ashwin', 'R Parag', 'TA Boult', 'YS Chahal', 'KR Sen', 'M Prasidh Krishna']","['KL Rahul', 'Q de Kock', 'K Gowtham', 'JO Holder', 'DJ Hooda', 'A Badoni', 'KH Pandya', 'MP Stoinis', 'PVD Chameera', 'Avesh Khan', 'Ravi Bishnoi']",AK Chaudhary,Tapan Sharma
1304064,Pune,2022-04-09,2022,18,Mumbai Indians,Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,7,NA,Anuj Rawat,"['Ishan Kishan', 'RG Sharma', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'Ramandeep Singh', 'JD Unadkat', 'M Ashwin', 'JJ Bumrah', 'Basil Thampi']","['F du Plessis', 'Anuj Rawat', 'V Kohli', 'KD Karthik', 'GJ Maxwell', 'DJ Willey', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'Akash Deep']",BNJ Oxenford,KN Ananthapadmanabhan
1304063,Mumbai,2022-04-09,2022,17,Chennai Super Kings,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Sunrisers Hyderabad,Wickets,8,NA,Abhishek Sharma,"['RV Uthappa', 'RD Gaikwad', 'MM Ali', 'AT Rayudu', 'S Dube', 'RA Jadeja', 'MS Dhoni', 'DJ Bravo', 'CJ Jordan', 'M Theekshana', 'Mukesh Choudhary']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'N Pooran', 'AK Markram', 'Shashank Singh', 'Washington Sundar', 'B Kumar', 'M Jansen', 'Umran Malik', 'T Natarajan']",Navdeep Singh,Nitin Menon
1304062,Mumbai,2022-04-08,2022,16,Punjab Kings,Gujarat Titans,"Brabourne Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,6,NA,Shubman Gill,"['MA Agarwal', 'S Dhawan', 'JM Bairstow', 'LS Livingstone', 'JM Sharma', 'OF Smith', 'M Shahrukh Khan', 'K Rabada', 'RD Chahar', 'VG Arora', 'Arshdeep Singh']","['MS Wade', 'Shubman Gill', 'B Sai Sudharsan', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'DG Nalkande', 'Mohammed Shami', 'LH Ferguson']",AK Chaudhary,VK Sharma
1304061,Mumbai,2022-04-07,2022,15,Delhi Capitals,Lucknow Super Giants,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,field,N,Lucknow Super Giants,Wickets,6,NA,Q de Kock,"['PP Shaw', 'DA Warner', 'R Powell', 'RR Pant', 'SN Khan', 'Lalit Yadav', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'Mustafizur Rahman', 'A Nortje']","['KL Rahul', 'Q de Kock', 'E Lewis', 'DJ Hooda', 'KH Pandya', 'A Badoni', 'K Gowtham', 'JO Holder', 'Avesh Khan', 'AJ Tye', 'Ravi Bishnoi']",RJ Tucker,Tapan Sharma
1304060,Pune,2022-04-06,2022,14,Mumbai Indians,Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,5,NA,PJ Cummins,"['RG Sharma', 'Ishan Kishan', 'D Brevis', 'SA Yadav', 'Tilak Varma', 'KA Pollard', 'DR Sams', 'M Ashwin', 'TS Mills', 'JJ Bumrah', 'Basil Thampi']","['AM Rahane', 'VR Iyer', 'SS Iyer', 'SW Billings', 'N Rana', 'AD Russell', 'PJ Cummins', 'SP Narine', 'Rasikh Salam', 'UT Yadav', 'CV Varun']",BNJ Oxenford,KN Ananthapadmanabhan
1304059,Mumbai,2022-04-05,2022,13,Rajasthan Royals,Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,4,NA,KD Karthik,"['JC Buttler', 'YBK Jaiswal', 'D Padikkal', 'SV Samson', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'Navdeep Saini', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna']","['F du Plessis', 'Anuj Rawat', 'V Kohli', 'DJ Willey', 'SE Rutherford', 'Shahbaz Ahmed', 'KD Karthik', 'HV Patel', 'PWH de Silva', 'Mohammed Siraj', 'Akash Deep']",AK Chaudhary,HAS Khalid
1304058,Mumbai,2022-04-04,2022,12,Lucknow Super Giants,Sunrisers Hyderabad,"Dr DY Patil Sports Academy, Mumbai",Sunrisers Hyderabad,field,N,Lucknow Super Giants,Runs,12,NA,Avesh Khan,"['KL Rahul', 'Q de Kock', 'E Lewis', 'MK Pandey', 'DJ Hooda', 'A Badoni', 'KH Pandya', 'JO Holder', 'AJ Tye', 'Ravi Bishnoi', 'Avesh Khan']","['Abhishek Sharma', 'KS Williamson', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'Abdul Samad', 'R Shepherd', 'B Kumar', 'Umran Malik', 'T Natarajan']",J Madanagopal,Navdeep Singh
1304057,Mumbai,2022-04-03,2022,11,Punjab Kings,Chennai Super Kings,"Brabourne Stadium, Mumbai",Chennai Super Kings,field,N,Punjab Kings,Runs,54,NA,LS Livingstone,"['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'JM Sharma', 'M Shahrukh Khan', 'OF Smith', 'K Rabada', 'RD Chahar', 'VG Arora', 'Arshdeep Singh']","['RV Uthappa', 'RD Gaikwad', 'MM Ali', 'AT Rayudu', 'RA Jadeja', 'S Dube', 'MS Dhoni', 'DJ Bravo', 'D Pretorius', 'CJ Jordan', 'Mukesh Choudhary']",RJ Tucker,YC Barde
1304056,Pune,2022-04-02,2022,10,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Delhi Capitals,field,N,Gujarat Titans,Runs,14,NA,LH Ferguson,"['MS Wade', 'Shubman Gill', 'V Shankar', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'VR Aaron', 'LH Ferguson', 'Mohammed Shami']","['PP Shaw', 'TL Seifert', 'Mandeep Singh', 'RR Pant', 'Lalit Yadav', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'KK Ahmed', 'Mustafizur Rahman']",KN Ananthapadmanabhan,UV Gandhe
1304055,Mumbai,2022-04-02,2022,9,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,N,Rajasthan Royals,Runs,23,NA,JC Buttler,"['JC Buttler', 'YBK Jaiswal', 'D Padikkal', 'SV Samson', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'Navdeep Saini', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna']","['Ishan Kishan', 'RG Sharma', 'Anmolpreet Singh', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'M Ashwin', 'JJ Bumrah', 'TS Mills', 'Basil Thampi']",Nitin Menon,PG Pathak
1304054,Mumbai,2022-04-01,2022,8,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,"['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'RA Bawa', 'M Shahrukh Khan', 'Harpreet Brar', 'OF Smith', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']","['AM Rahane', 'VR Iyer', 'SS Iyer', 'SW Billings', 'N Rana', 'AD Russell', 'SP Narine', 'TG Southee', 'UT Yadav', 'CV Varun', 'Shivam Mavi']",AK Chaudhary,HAS Khalid
1304053,Mumbai,2022-03-31,2022,7,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Lucknow Super Giants,field,N,Lucknow Super Giants,Wickets,6,NA,E Lewis,"['RV Uthappa', 'RD Gaikwad', 'MM Ali', 'S Dube', 'AT Rayudu', 'RA Jadeja', 'MS Dhoni', 'D Pretorius', 'DJ Bravo', 'TU Deshpande', 'Mukesh Choudhary']","['KL Rahul', 'Q de Kock', 'MK Pandey', 'E Lewis', 'DJ Hooda', 'A Badoni', 'KH Pandya', 'PVD Chameera', 'AJ Tye', 'Ravi Bishnoi', 'Avesh Khan']",RJ Tucker,VK Sharma
1304052,Mumbai,2022-03-30,2022,6,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,N,Royal Challengers Bangalore,Wickets,3,NA,PWH de Silva,"['AM Rahane', 'VR Iyer', 'SS Iyer', 'N Rana', 'SP Narine', 'SW Billings', 'SP Jackson', 'AD Russell', 'TG Southee', 'UT Yadav', 'CV Varun']","['F du Plessis', 'Anuj Rawat', 'V Kohli', 'DJ Willey', 'SE Rutherford', 'Shahbaz Ahmed', 'KD Karthik', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'Akash Deep']",J Madanagopal,Navdeep Singh
1304051,Pune,2022-03-29,2022,5,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,N,Rajasthan Royals,Runs,61,NA,SV Samson,"['JC Buttler', 'YBK Jaiswal', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'NM Coulter-Nile', 'R Ashwin', 'YS Chahal', 'TA Boult', 'M Prasidh Krishna']","['KS Williamson', 'Abhishek Sharma', 'RA Tripathi', 'N Pooran', 'AK Markram', 'Abdul Samad', 'R Shepherd', 'Washington Sundar', 'B Kumar', 'Umran Malik', 'T Natarajan']",BNJ Oxenford,UV Gandhe
1304050,Mumbai,2022-03-28,2022,4,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,N,Gujarat Titans,Wickets,5,NA,Mohammed Shami,"['KL Rahul', 'Q de Kock', 'E Lewis', 'MK Pandey', 'DJ Hooda', 'A Badoni', 'KH Pandya', 'PVD Chameera', 'Mohsin Khan', 'Ravi Bishnoi', 'Avesh Khan']","['Shubman Gill', 'MS Wade', 'V Shankar', 'HH Pandya', 'DA Miller', 'R Tewatia', 'A Manohar', 'Rashid Khan', 'LH Ferguson', 'Mohammed Shami', 'VR Aaron']",PG Pathak,VK Sharma
1304049,Mumbai,2022-03-27,2022,3,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,N,Punjab Kings,Wickets,5,NA,OF Smith,"['F du Plessis', 'Anuj Rawat', 'V Kohli', 'KD Karthik', 'SE Rutherford', 'DJ Willey', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'Mohammed Siraj', 'Akash Deep']","['MA Agarwal', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'RA Bawa', 'M Shahrukh Khan', 'OF Smith', 'Harpreet Brar', 'Arshdeep Singh', 'Sandeep Sharma', 'RD Chahar']",Nitin Menon,YC Barde
1304048,Mumbai,2022-03-27,2022,2,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,N,Delhi Capitals,Wickets,4,NA,Kuldeep Yadav,"['RG Sharma', 'Ishan Kishan', 'Anmolpreet Singh', 'Tilak Varma', 'KA Pollard', 'TH David', 'DR Sams', 'M Ashwin', 'TS Mills', 'JJ Bumrah', 'Basil Thampi']","['PP Shaw', 'TL Seifert', 'Mandeep Singh', 'RR Pant', 'Lalit Yadav', 'R Powell', 'SN Thakur', 'AR Patel', 'Kuldeep Yadav', 'KK Ahmed', 'KL Nagarkoti']",RJ Tucker,HAS Khalid
1304047,Mumbai,2022-03-26,2022,1,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,N,Kolkata Knight Riders,Wickets,6,NA,UT Yadav,"['RD Gaikwad', 'DP Conway', 'RV Uthappa', 'AT Rayudu', 'RA Jadeja', 'S Dube', 'MS Dhoni', 'DJ Bravo', 'MJ Santner', 'AF Milne', 'TU Deshpande']","['AM Rahane', 'VR Iyer', 'N Rana', 'SS Iyer', 'SW Billings', 'SP Jackson', 'AD Russell', 'SP Narine', 'UT Yadav', 'Shivam Mavi', 'CV Varun']",AK Chaudhary,Nitin Menon
